,headline,current_price,clean_fee,service_fee,occupancy_fee,guest,bedroom,beds,baths,enhanced_clean,self_checkin,rating,review_number,rating_cleanliness,rating_accuracy,rating_communication,rating_location,rating_check_in,rating_value,cancel_policy,cancel_policy_code,location_approx,location_code,type,type_code,amenity_number,free_P_on_property,private_entrance,pets,kitchen,security_camera,co_alarm,scenic_number,host_join_year,host_review,identity_veified,superhost,response_rate,response_time,res_time_code,additional_language
10756,Roomy Suite 1BR in Durham,89,40,31,34,2,1,1,1,0,1,4.8,10,4.6,4.8,5,4.9,5,4.8,no free cancel,0,Durham,13,entire home,1,20,0,0,0,0,0,1,0,2021,199,1,0,99,within an hour,1,0
10757,Boho Blue Bungalow Watts-Hillandale close to Duke,109,50,38,41,2,1,1,1,1,1,5,5,5,5,5,5,5,5,5 days before check in,4,Durham,13,entire home,1,29,1,1,0,1,1,1,0,2021,5,1,0,100,within an hour,1,1
10758,Dreamy Downtown Private Apt; 2BEDS/2Bath 1200sf,225,60,72,79,4,1,2,2,1,0,5,82,5,5,5,5,5,4.8,1 day before check in,5,Durham,13,entire home,1,19,1,0,0,1,0,1,0,2016,85,1,1,89,within a day,3,0
10759,Studio apartment in downtown,107,40,36,39,2,1,1,1,1,0,4.95,20,5,5,5,5,5,4.9,5 days before check in,4,Durham,13,entire home,1,41,0,1,0,1,0,1,0,2014,20,1,1,100,within an hour,1,0
10760,Miguel’s Place,63,55,25,28,3,2,2,1,1,1,5,8,5,4.9,4.9,4.8,5,4.9,1 day before check in,5,Durham,13,entire home,1,24,1,1,0,1,0,1,0,2018,316,1,1,100,within an hour,1,1
10761,Stylish Flat in DT Durham-Sep A/C-Sm Dog welcome.,89,65,34,37,2,1,3,1,1,1,4.88,187,4.9,5,5,4.9,4.9,4.8,48 hours after booking,1,Durham,13,entire home,1,35,1,1,1,1,0,1,1,2016,413,1,1,100,within an hour,1,0
10762,Charming modern house close to Duke/RTP/Downtown,85,53.92,47.67,50.88,4,2,3,1,1,0,4.91,199,4.9,4.9,5,4.9,5,4.8,5 days before check in,4,Durham,13,entire home,1,34,1,1,0,0,0,1,0,2014,1003,1,1,100,within an hour,1,0
10763,The Sidekick: A Historic Poolside Carriage House,231,50,72,79,4,1,2,1,1,1,5,78,5,5,5,5,5,4.9,30 days before check in,2,Durham,13,entire home,1,50,1,1,0,1,1,1,0,2014,78,1,1,100,within an hour,1,0
10764,100 Year-Old Historic Brick 2BR Loft ★ Large Patio & Hammocks ★ High Ceiling,190,76,64,70,6,2,3,2,1,1,4.84,19,4.8,4.9,5,5,4.8,4.7,30 days before check in,2,Durham,13,entire home,1,43,0,0,0,1,1,1,0,2017,4486,1,0,100,within an hour,1,0
10765,Modern 1 Bedroom Suite - Close to UNC/Downtown,74,35,26,28,2,1,1,1,1,1,4.85,328,4.9,4.9,5,4.9,5,4.9,1 day before check in,5,Durham,13,entire home,1,38,0,1,0,1,0,1,0,2011,333,0,1,100,within an hour,1,1
10766,Walk to Duke Campus! 1 Bedroom in Trinity Park!,100,60,37,40,2,1,1,1,1,1,4.71,32,4.8,4.9,4.9,4.9,4.9,4.8,48 hours after booking,1,Durham,13,entire home,1,22,1,1,0,1,0,1,0,2015,37,1,1,100,within an hour,1,0
10767,★Bull City Views★Downtown★Warehouse★District★,210,150,80,88,6,2,2,2,1,1,5,33,5,5,5,4.9,4.9,4.9,48 hours after booking,1,Durham,13,entire home,1,56,1,1,0,1,1,1,0,2020,152,1,1,100,within an hour,1,0
10768,Front Row Seat to Downtown Durham,72,70,30,33,4,2,2,1,0,1,4.56,50,4.7,4.7,5,4.7,5,4.5,no free cancel,0,Durham,13,entire home,1,40,0,1,1,0,0,1,0,2017,190,1,1,100,within an hour,1,1
10769,"Private guesthouse near airport, RTP & Brier Creek",72,70,30,32,2,1,1,1,1,0,4.98,129,5,5,5,4.9,5,4.9,5 days before check in,4,Durham,13,entire home,1,36,1,1,0,1,0,1,0,2016,129,1,1,100,within an hour,1,1
10770,"Duke On-Campus Apt, Modern & Cozy",85,60,32,35,4,1,1,1,1,1,4.88,41,5,4.9,5,5,5,4.8,5 days before check in,4,Durham,13,entire home,1,36,1,1,0,1,0,1,0,2019,41,1,1,100,within an hour,1,0
10771,Cozy Bungalow In Historic Downtown Durham,149,135,61,67,8,3,4,1,1,1,4.88,113,4.8,4.9,4.9,4.9,5,4.7,48 hours after booking,1,Durham,13,entire home,1,47,1,1,0,1,0,1,0,2013,298,1,1,94,within an hour,1,0
10772,Dogwood Acres Cozy and Convenient Ranch near Duke,93,60,35,38,6,3,4,1,1,1,4.91,108,4.8,4.9,5,4.9,5,4.9,5 days before check in,4,Durham,13,entire home,1,52,1,1,1,1,0,1,0,2016,108,1,1,100,within an hour,1,0
10773,Bull City Bungalow- A Jump-Shot from Duke Univ,113,125,49,54,4,2,2,1,1,1,5,21,5,5,5,5,5,4.9,5 days before check in,4,Durham,13,entire home,1,51,1,1,0,1,0,1,0,2020,21,1,1,100,within an hour,1,0
10774,Modern Tiny House in the Trees,238,50,74,81,2,1,1,1,1,0,4.96,217,4.9,5,5,4.9,5,4.8,30 days before check in,2,Durham,13,entire home,1,44,1,1,0,1,0,1,0,2014,1003,1,1,100,within an hour,1,0
10775,"Adorable studio 10 min from downtown, Duke & UNC",75,30,25,28,2,1,1,1,1,0,5,5,5,5,5,5,5,4.8,5 days before check in,4,Durham,13,entire home,1,37,1,1,0,1,0,1,0,2021,5,1,0,100,within an hour,1,2
10776,★ Cozy Modern Condo by Duke & Downtown ★,140,49,0,44,5,1,1,1,1,1,4.63,140,4.6,4.8,4.9,4.5,4.8,4.7,5 days before check in,4,Durham,13,entire home,1,51,1,1,0,1,0,1,0,2011,112,1,1,100,within an hour,1,0
10777,Lovely studio walking distance to Duke,79,40,28,31,3,1,1,1,1,1,4.8,10,4.8,5,5,5,4.9,4.8,48 hours after booking,1,Durham,13,entire home,1,26,0,0,0,0,0,1,0,2021,199,1,0,99,within an hour,1,0
10778,Loft Living in the Trendy Warehouse District,190,76,64,70,6,2,3,1,1,0,4.79,160,4.9,4.9,4.9,4.9,4.9,4.8,48 hours after booking,1,Durham,13,entire home,1,26,1,0,0,1,1,1,0,2017,4486,1,0,100,within an hour,1,0
10779,Bull City Guest House near Duke / Downtown Durham,100,91.75,53.33,37.25,4,2,2,1,1,1,4.9,40,4.9,5,5,5,5,4.9,no free cancel,0,Durham,13,entire home,1,38,1,1,0,1,0,1,0,2016,40,1,1,100,within an hour,1,0
10780,Luxurious 1BR Kg Bed 1Bath Exquisite Amenities,150,75,53,58,2,1,1,1,1,1,5,7,4.8,4.9,4.9,4.9,4.9,4.8,48 hours after booking,1,Durham,13,entire home,1,48,1,1,0,1,0,1,0,2017,0,1,0,100,within an hour,1,0
10781,Duke Adjacent Apartment in Historic Trinity Park,105,86.33,46,26,4,2,2,2,1,0,4.96,46,5,5,5,5,5,4.9,no free cancel,0,Durham,13,entire home,1,26,0,1,0,1,0,0,0,2012,46,1,1,100,within an hour,1,1
10782,✬Work-Play-Grandparents-InTown✬,125,100,49,54,4,2,2,1,1,1,4.92,138,4.9,5,5,4.6,5,4.9,48 hours after booking,1,Durham,13,entire home,1,54,0,1,0,1,0,1,0,2014,246,1,1,100,within an hour,1,0
10783,"⭐️NEW Modern retreat,walk downtown, king🛌 spacious☕️",203,100,71,78,8,3,5,2,1,0,5,8,4.9,4.9,5,4.6,5,4.8,1 day before check in,5,Durham,13,entire home,1,55,1,1,1,1,1,1,0,2021,8,1,0,100,within an hour,1,0
10784,Cabin Life By the Eno,198,20,59,50,6,3,3,2,1,1,4.64,14,4.7,4.7,4.7,4.5,4.6,4.6,1 day before check in,5,Durham,13,entire home,1,43,1,0,0,1,1,1,0,2019,14,1,0,100,within an hour,1,0
10785,Cozy ranch near downtown Durham,150,100,56,62,4,2,2,1,1,1,5,12,5,5,5,4.8,4.9,5,5 days before check in,4,Durham,13,entire home,1,50,1,1,0,1,1,0,0,2015,12,1,1,100,within an hour,1,0
10786,Woodland Retreat near Duke and Downtown Durham,125,110,51,55,6,3,4,2,1,1,4.87,109,4.9,4.9,5,4.9,5,4.8,30 days before check in,2,Durham,13,entire home,1,38,1,1,0,1,1,1,0,2018,114,1,1,100,within an hour,1,0
10787,Lakewood/Lyon Park Renovated Cottage Near Duke 23B,75,65,30,33,2,1,1,1,1,1,4.71,21,4.9,4.9,4.6,4.3,4.6,4.6,48 hours after booking,1,Durham,13,entire home,1,22,1,1,0,1,0,1,0,2013,741,1,0,100,within an hour,1,1
10788,Viagem | Durham | Inner City 1BR with Pool & Gym,118,95,0,45,3,1,1,1,1,1,4.52,23,4.6,4.7,4.7,4.7,4.7,4.5,1 day before check in,5,Durham,13,entire home,1,36,1,0,0,1,0,1,0,2020,2114,1,0,100,within an hour,1,0
10789,Mstr Bdrm w/ Bath. Mins to DT Durham & Brier Creek,106,50,37,40,4,1,1,1,1,1,4.83,12,5,5,5,4.8,5,4.8,30 days before check in,2,Durham,13,entire home,1,54,1,1,1,1,1,1,0,2016,12,1,1,100,within an hour,1,0
10790,"Spacious Pet Friendly Home Close town, DPAC,Duke",68,95,33,36,6,2,3,1,1,1,4.44,127,4.5,4.5,4.8,4.3,4.8,4.5,5 days before check in,4,Durham,13,entire home,1,39,1,1,1,1,1,1,0,2017,484,1,0,97,within an hour,1,1
10791,Top Floor,51,25,18,20,2,1,1,1,1,1,4.61,91,4.7,4.8,4.8,4.6,4.9,4.7,1 day before check in,5,Durham,13,entire home,1,33,1,1,0,1,0,1,0,2018,316,1,1,100,within an hour,1,1
10792,VIP Loft on Main St. - Center of downtown Durham!,265,40,80,88,5,2,2,1,1,1,4.94,128,4.9,5,5,5,4.9,4.8,5 days before check in,4,Durham,13,entire home,1,34,0,0,0,1,1,1,0,2014,243,1,1,100,within an hour,1,0
10793,Walk to Duke! Close to everything!,130,80,48,52,5,3,3,1,1,0,4.78,9,4.7,5,4.7,4.8,5,4.7,no free cancel,0,Durham,13,entire home,1,25,1,1,1,1,1,1,0,2012,124,1,0,100,within an hour,1,0
10794,"Cheerful 2-bedroom townhome, great location!",76,52,29,31,3,2,2,2,1,1,4.44,9,4.1,4.6,4.8,4.8,4.9,4.4,5 days before check in,4,Durham,13,entire home,1,50,1,1,1,1,1,0,0,2016,9,1,0,100,within an hour,1,0
10795,Unique 1BR with Parking In Downtown Durham,118,95,0,45,2,1,1,1,1,1,4.83,6,5,5,4.3,5,4.5,4.5,1 day before check in,5,Durham,13,entire home,1,29,1,0,0,1,0,0,0,2020,2114,1,0,100,within an hour,1,0
10796,Duke/Ninth St 1bd/1ba *long stay friendly*,120,95,47,52,4,1,2,1,1,0,4.9,54,4.8,4.9,4.9,4.9,4.9,4.8,1 day before check in,5,Durham,13,entire home,1,63,1,0,1,1,0,1,0,2021,0,1,0,100,within a few hours,2,0
10797,Lovely 1 bedroom condo with seasonal pool.,65,60,27,29,2,1,1,1,1,0,4.89,80,4.9,4.9,4.9,4.9,4.9,4.8,5 days before check in,4,Durham,13,entire home,1,37,1,1,0,1,0,0,0,2019,0,1,0,100,within an hour,1,0
10798,Sunny 1BR Suite minutes away from downtown,85,40,30,32,4,1,1,1,0,1,4.86,14,4.6,5,4.9,4.9,5,4.9,no free cancel,0,Durham,13,entire home,1,24,0,0,0,0,0,1,0,2021,199,1,0,99,within an hour,1,0
