,headline,current_price,clean_fee,service_fee,occupancy_fee,guest,bedroom,beds,baths,enhanced_clean,self_checkin,rating,review_number,rating_cleanliness,rating_accuracy,rating_communication,rating_location,rating_check_in,rating_value,cancel_policy,cancel_policy_code,location_approx,location_code,type,type_code,amenity_number,free_P_on_property,private_entrance,pets,kitchen,security_camera,co_alarm,scenic_number,host_join_year,host_review,identity_veified,superhost,response_rate,response_time,res_time_code,additional_language
0,C☆zy Studio in Union Square Park,87,40,30,0,2,1,2,1,1,1,4.68,80,4.8,4.7,4.8,4.9,4.9,4.8,48 hours after booking,1,New York,25,entire home,1,21,0,1,0,1,0,1,0,2020,80,1,1,94,within an hour,1,0
1,Stylish Midtown Retreat COVID-19 FREE HOME.,130,48,43,0,4,1,2,1,1,1,4.59,312,4.6,4.7,4.7,4.8,4.6,4.6,48 hours after booking,1,New York,25,entire home,1,22,0,0,0,1,0,1,0,2016,320,1,1,100,within a few hours,2,0
2,Best Quiet Apartment / Union Square,95,40,32,0,3,1,2,1,1,1,4.7,84,4.7,4.8,4.9,4.9,5,4.8,48 hours after booking,1,New York,25,entire home,1,25,0,0,0,1,0,1,0,2020,84,1,0,100,within an hour,1,0
3,Cozy Brooklyn Garden Level Apartment w/ Backyard!,132,73.08,8.67,51.38,2,1,1,1,1,0,5,6,5,5,5,5,5,5,48 hours after booking,1,New York,25,entire home,1,49,0,1,0,1,1,1,0,2009,557,1,0,100,within an hour,1,0
4,Spacious 2 Bedroom Steps from Times Sq.,122,58.33,32,38.88,5,2,2,1,1,1,4.47,118,4.3,4.5,4.7,4.9,4.7,4.6,1 day before check in,5,New York,25,entire home,1,31,0,0,1,1,0,1,0,2020,118,1,0,100,within an hour,1,0
5,Gramercy park Apartment (2beds),88,80.08,66,36.75,3,1,2,1,0,1,4.72,47,4.6,4.8,4.8,5,4.9,4.7,no free cancel,0,New York,25,entire home,1,25,1,1,0,1,0,1,0,2020,47,1,0,90,within an hour,1,0
6,Chelsea New York Hip Hotel,97,15,30,0,2,1,1,1,1,1,4.9,21,5,5,4.9,5,5,5,1 day before check in,5,New York,25,room,2,30,0,1,0,0,1,1,0,2021,220,1,1,99,within an hour,1,0
7,NYC Skyline from the Center of Times Square,164,0,0,55,2,1,1,1,0,1,4.36,28,4.4,4.3,4.4,4.7,4.6,4.3,no free cancel,0,New York,25,room,2,21,0,0,0,0,1,1,0,2021,66,1,0,95,within an hour,1,0
8,Near Gramercy Park/ Private Entrance,70,35,25,0,2,1,1,1,1,1,4.5,74,4.5,4.5,4.8,4.9,4.9,4.6,30 days before check in,2,New York,25,room,2,18,0,1,0,0,0,1,0,2020,74,1,0,100,within an hour,1,0
9,Brownstone Studio off Central Park!,225,85,76,0,2,1,1,1,1,0,4.91,189,5,4.9,5,5,5,4.8,48 hours after booking,1,New York,25,entire home,1,22,0,0,0,1,0,1,0,2013,189,1,1,100,within an hour,1,0
10,Perfect WFH or Staycation in the LES!,160,53.58,52,40.5,3,1,1,1,1,1,4.88,106,4.8,4.9,5,4.9,4.9,4.8,48 hours after booking,1,New York,25,entire home,1,25,0,0,0,1,0,0,0,2012,113,1,1,100,within an hour,1,2
11,UNTITLED at Freemans - Cozy Studio 910,192,70,64,0,2,1,1,1,1,1,4.71,7,4.9,5,4.9,4.9,4.9,4.4,1 day before check in,5,New York,25,entire home,1,34,0,0,0,0,0,1,0,2017,1484,1,1,100,within an hour,1,0
12,"Clean/Quiet Apt, Great Location, with washer/dryer",124,89,48,0,4,2,2,1,1,1,4.45,348,4.3,4.5,4.5,4.9,4.7,4.5,48 hours after booking,1,New York,25,entire home,1,42,0,0,0,1,0,1,0,2014,348,1,0,100,within an hour,1,0
13,Backyard Studio Apartment in Brooklyn,54,0,15,0,2,1,2,1,1,0,5,6,5,5,4.8,4.8,4.7,5,5 days before check in,4,New York,25,entire home,1,25,0,0,0,1,0,0,0,2021,6,1,0,99,within an hour,1,0
14,Charming studio apartment in Chelsea,187,60,61,0,2,1,1,1,1,0,4.87,38,4.8,5,5,5,5,4.9,1 day before check in,5,New York,25,entire home,1,27,0,0,0,1,1,1,0,2012,55,1,1,100,within an hour,1,0
15,Uptown Chic - Hoboken,90,61.67,53.33,41.88,2,1,1,1,1,0,4.88,269,4.9,4.9,4.9,4.9,4.9,4.9,5 days before check in,4,New York,25,entire home,1,29,0,1,0,1,0,1,0,2016,269,1,1,100,within a few hours,2,0
16,"Large, sunny, private studio Apt 2F",103,55,37,0,2,1,1,1,1,1,4.76,360,4.9,4.9,4.9,4.8,5,4.7,48 hours after booking,1,New York,25,entire home,1,21,0,0,0,0,0,1,0,2015,664,1,1,100,within an hour,1,1
17,3 Beds (Full & Twin x 2) and Private Kitchen,71,45,26,0,3,1,3,1,1,1,4.75,4,5,4.8,4.8,5,5,4.8,30 days before check in,2,New York,25,room,2,24,0,0,0,1,0,1,0,2021,4,1,0,95,within an hour,1,0
18,Sunny Chelsea Oasis,188,125,71,0,3,1,2,1,0,1,4.76,191,4.7,4.8,4.8,5,4.8,4.7,no free cancel,0,New York,25,entire home,1,29,0,0,0,1,0,1,0,2016,191,1,0,100,within an hour,1,0
19,CENTRAL PARK APT - ALL MUSEUMS!!,150,67.42,43.67,42.12,3,1,1,1,1,0,4.9,40,4.9,4.9,4.9,5,4.9,4.9,48 hours after booking,1,New York,25,entire home,1,23,0,1,0,1,0,1,0,2019,40,1,0,100,within an hour,1,0
20,UNTITLED at Freeman-Cozy Studio 906,167,70,57,0,2,1,1,1,1,1,4.93,15,5,4.9,5,4.9,4.9,4.7,48 hours after booking,1,New York,25,entire home,1,33,0,0,0,0,0,1,0,2017,1484,1,1,100,within an hour,1,0
21,FABULOUS PLACE in MIDTOWN/PRIME LOCATION,190,45,60,0,2,1,2,1,1,0,4.85,206,4.8,4.9,4.9,5,4.9,4.8,48 hours after booking,1,New York,25,room,2,22,0,0,0,1,0,1,0,2016,421,1,0,97,within an hour,1,2
22,Studio Apt in Alphabet city/East village,125,39,41,0,2,1,1,1,1,1,5,8,5,5,5,5,5,5,1 day before check in,5,New York,25,entire home,1,43,0,0,1,1,0,1,0,2017,95,1,0,100,within an hour,1,1
23,Elegant Private Studio - Town House,77,35.25,36.33,17.5,2,1,1,1,1,1,4.87,269,4.9,4.9,4.7,4.7,4.8,4.9,48 hours after booking,1,New York,25,room,2,36,0,1,0,1,0,1,0,2015,376,1,0,92,within a day,3,1
24,West Village Style and Charm - Host Vaccinated,135,20,41,0,2,1,1,2,1,0,4.97,243,5,5,5,5,4.9,4.9,5 days before check in,4,New York,25,room,2,46,0,0,1,1,0,1,1,2014,257,1,1,94,within an hour,1,0
25,Private Upper East Side gem near Central Park.,125,99,49,0,2,1,2,1,0,1,4.82,17,4.7,4.8,4.9,4.9,4.5,4.8,no free cancel,0,New York,25,entire home,1,29,0,0,0,1,0,0,0,2013,17,1,0,100,within an hour,1,0
26,The President Studio,123,100,49,0,2,1,1,1,1,1,4.93,27,4.9,5,5,5,5,4.8,48 hours after booking,1,New York,25,entire home,1,39,0,0,0,1,0,1,0,2011,27,1,1,100,within an hour,1,0
27,Bed Stuy Brownstone 1 BR Apartment,112,50,39,0,3,1,2,1,1,0,4.85,46,4.9,5,4.9,4.7,5,4.9,5 days before check in,4,New York,25,entire home,1,26,1,1,0,1,0,1,0,2015,46,1,1,100,within an hour,1,0
28,Cute and Quiet in the Heart of Soho/Nolita,174,129,67,0,2,1,1,1,1,1,4.34,238,4.3,4.4,4.8,4.9,4.7,4.3,48 hours after booking,1,New York,25,entire home,1,30,0,0,0,1,0,1,0,2012,238,1,0,100,within a few hours,2,0
29,Magnificent Location Midtown Studio,135,79,49,0,3,1,2,1,1,1,4.89,53,4.9,4.9,4.9,4.9,4.9,4.7,48 hours after booking,1,New York,25,entire home,1,36,0,1,0,1,1,1,0,2020,771,1,1,100,within an hour,1,0
30,Beautiful one bedroom Apt in the heart of Soho.,181,95,64,0,2,1,1,1,1,1,4.65,55,4.5,4.8,4.9,4.9,5,4.7,5 days before check in,4,New York,25,entire home,1,24,0,0,1,1,0,0,0,2019,55,1,1,100,within an hour,1,0
31,NYC Photographers Loft,165,98,60,0,2,1,2,1,0,1,4.65,81,4.6,4.7,4.7,4.8,4.7,4.5,no free cancel,0,New York,25,entire home,1,25,0,0,0,1,1,1,0,2011,373,1,0,100,within an hour,1,1
32,Room near the Empire State Building,82,0,23,0,2,1,1,1,0,0,4.27,15,4.1,4.5,4.6,4.8,4.7,4.5,no free cancel,0,New York,25,room,2,28,0,0,0,1,0,0,0,2018,237,1,0,98,within an hour,1,1
33,UNTITLED at Freeman-Cozy Studio 815,173,70,59,0,2,1,1,1,1,0,5,9,5,5,5,5,5,5,48 hours after booking,1,New York,25,entire home,1,31,0,0,0,0,0,1,0,2017,1484,1,1,100,within an hour,1,0
34,Studio w/ private entry in Fort Greene,94,63.5,42,22.88,2,1,1,1,1,1,4.72,130,4.8,4.9,4.9,5,4.9,4.8,no free cancel,0,New York,25,entire home,1,22,0,1,0,1,0,1,0,2010,345,1,1,100,within a few hours,2,2
35,Chic Designer’s Room & 2 Beds in Manhattan LES,95,39,32,0,2,1,2,1,1,1,4.59,309,4.2,4.7,4.9,4.6,4.9,4.6,48 hours after booking,1,New York,25,room,2,24,0,0,0,1,0,1,0,2014,474,1,0,85,within an hour,1,0
36,Sunny Brownstone Studio in BedStuy Brooklyn,136,80,50,0,2,1,1,1,1,1,4.79,183,4.7,4.9,4.9,4.8,4.9,4.8,5 days before check in,4,New York,25,entire home,1,23,1,1,0,1,0,1,0,2017,201,1,1,100,within an hour,1,0
37,Upper West Studio with private rooftop terrace,132,49.5,57.67,66.38,2,1,1,1,0,0,4.71,14,4.5,4.6,4.9,5,4.9,4.8,no free cancel,0,New York,25,entire home,1,30,0,0,0,1,0,1,0,2019,21,1,0,100,within an hour,1,1
38,Manhattan Studio Near Empire State Building,149,83,54,0,5,2,3,1,0,1,4.43,70,4.6,4.8,4.7,4.7,4.7,4.5,no free cancel,0,New York,25,entire home,1,23,0,0,0,1,0,0,0,2018,155,1,0,100,within an hour,1,0
39,"Minimalist Studio in cool Bed-Stuy, Brooklyn",115,70,42,0,4,1,2,1,1,1,4.84,116,4.9,4.9,4.9,4.9,5,4.8,48 hours after booking,1,New York,25,entire home,1,36,0,1,0,1,0,1,0,2013,116,1,1,100,within an hour,1,0
40,5th Avenue Studio near Rockefeller Center,213,60,69,0,2,1,1,1,1,0,4.93,48,4.8,4.9,4.9,4.9,4.9,4.8,1 day before check in,5,New York,25,entire home,1,21,0,0,0,1,0,0,0,2012,55,1,1,100,within an hour,1,0
41,UNTITLED at Freeman-Cozy Studio 1007,171,70,58,0,2,1,1,1,1,1,4.89,19,5,5,5,5,5,4.8,48 hours after booking,1,New York,25,entire home,1,33,0,0,0,0,0,1,0,2017,1484,1,1,100,within an hour,1,0
42,Amazing East Village XL ground floor Apartment!,181,35,56,0,4,1,1,1,1,1,4.75,422,4.8,4.8,4.9,4.9,4.9,4.8,5 days before check in,4,New York,25,entire home,1,30,0,1,1,1,1,1,0,2010,564,1,1,100,within an hour,1,1
43,Private Suite at Charming Times SQ Boutique Hotel,115,0,32,0,2,1,1,1,0,0,4.2,5,4.4,3,4.2,4.6,4.6,4.2,no free cancel,0,New York,25,room,2,18,0,0,0,0,0,1,0,2021,316,1,0,100,within an hour,1,0
44,"Central Park Apartment-sanitizers, air purifier",104,20,32,0,2,1,1,1,1,0,4.89,233,5,4.9,4.9,4.9,4.9,4.8,48 hours after booking,1,New York,25,room,2,31,0,0,0,1,1,1,0,2018,375,1,1,91,within an hour,1,1
45,Classic Brownstone Apartment,116,60,41,0,2,1,1,1,1,1,4.7,269,4.8,4.8,4.8,4.5,4.8,4.6,48 hours after booking,1,New York,25,entire home,1,40,0,1,0,1,0,1,0,2013,274,1,1,100,within an hour,1,0
46,Cozy Room in Midtown Manhattan,84,0,24,0,2,1,1,1,0,0,4.39,28,4,4.4,4.6,4.9,4.7,4.5,no free cancel,0,New York,25,room,2,11,0,0,0,1,0,0,0,2018,237,1,0,98,within an hour,1,1
47,Hot-Tub and King beds in Brooklyn!,97,100,41,0,4,1,1,1,1,1,4.85,288,4.9,4.9,4.9,4.6,5,4.8,30 days before check in,2,New York,25,entire home,1,36,0,1,0,1,0,1,0,2016,288,1,1,100,within a few hours,2,0
48,BEST LOCATION !!! 3min to Rockefeller Plaza (R),190,45,60,0,2,1,2,1,1,1,4.8,204,4.8,4.9,4.9,5,4.8,4.8,5 days before check in,4,New York,25,room,2,21,0,0,0,1,0,0,0,2016,421,1,0,97,within an hour,1,2
49,Midtown great location private Apt,119,52.83,38,57.5,3,1,1,1,1,1,4.37,332,4.4,4.5,4.8,4.9,4.8,4.5,48 hours after booking,1,New York,25,entire home,1,30,0,0,0,1,0,1,0,2015,332,1,0,100,within an hour,1,1
50,Penthouse Studio East 50s with Roof Terrace,165,60,55,0,2,1,1,1,1,1,5,19,5,5,5,5,5,5,30 days before check in,2,New York,25,room,2,39,0,1,0,0,0,1,2,2016,19,1,0,100,within an hour,1,1
51,Brownstone-Morningside Heights-Harlem,128,70,46,0,4,1,2,1,1,1,4.81,21,5,5,5,4.9,5,4.9,48 hours after booking,1,New York,25,entire home,1,20,0,1,0,1,0,1,0,2014,209,1,1,100,within an hour,1,1
52,Large King Bed Hotel Room,138,0,39,0,2,1,1,1,1,1,4.93,68,4.8,4.9,5,4.9,4.9,4.9,1 day before check in,5,New York,25,room,2,22,0,0,0,0,0,1,0,2020,3465,1,1,99,within an hour,1,0
53,Cozy brownstone studio apartment in PLG,108,0,30,0,2,1,1,1,1,0,4.89,11,4.8,4.9,4.9,4.9,4.9,4.8,5 days before check in,4,New York,25,entire home,1,46,0,1,1,1,0,1,0,2012,2,1,0,100,within an hour,1,3
54,"Staypineapple New York, Fashionista King",117,47.5,39.67,35.12,2,1,1,1,1,1,4.67,84,4.8,4.7,4.8,4.7,4.9,4.5,1 day before check in,5,New York,25,room,2,21,0,1,1,0,0,1,0,2019,298,1,0,96,within an hour,1,0
55,S+ Location Midtown Studio Apt,135,68.42,42,26,4,2,2,1,1,1,4.82,250,4.9,4.8,5,4.9,4.9,4.7,48 hours after booking,1,New York,25,entire home,1,36,0,1,0,1,1,1,0,2020,771,1,1,100,within an hour,1,0
56,Sunny - Large Two Bedroom,149,90,55,0,5,2,2,1,1,0,4.58,162,4.7,4.7,4.8,4.8,4.7,4.6,48 hours after booking,1,New York,25,entire home,1,23,0,1,0,1,0,1,0,2014,164,1,1,100,within an hour,1,0
57,Cosy one-bedroom nest in the heart of Williamsburg,138,100,53,0,3,1,1,1,1,1,4.65,121,4.7,4.9,4.7,4.9,4.9,4.7,5 days before check in,4,New York,25,entire home,1,26,0,1,0,1,0,1,0,2018,121,1,0,92,within an hour,1,3
58,Hotel Room Queen/Queen Beds Chelsea,129,0,36,0,4,2,2,1,0,0,4.89,27,4.8,4.9,5,4.9,4.9,4.8,no free cancel,0,New York,25,room,2,16,0,1,0,0,1,1,0,2021,728,1,0,100,within an hour,1,0
59,Welcoming Bedroom by the Empire State Building,86,0,24,0,2,1,1,1,0,0,4.5,8,4.2,4.4,4.6,4.8,4.4,4.5,no free cancel,0,New York,25,room,2,11,0,0,0,1,0,0,0,2018,237,1,0,98,within an hour,1,1
60,ON HIGHLINE! Private room & bath,155,50,51,0,2,1,2,1,1,0,4.95,277,4.9,5,5,5,5,4.9,48 hours after booking,1,New York,25,room,2,33,0,0,0,1,0,1,1,2012,281,1,1,100,within an hour,1,3
61,Full 1 Bedroom Apartment in heart of UWS,200,100,71,0,3,1,1,1,1,1,4.93,201,4.9,5,5,5,5,4.8,5 days before check in,4,New York,25,entire home,1,49,0,0,1,1,1,1,0,2016,268,1,1,100,within a few hours,2,1
62,UNTITLED at Freeman-Cozy Studio 1002,165,70,56,0,2,1,1,1,1,1,5,8,5,4.9,4.6,5,5,4.9,48 hours after booking,1,New York,25,entire home,1,33,0,0,0,0,0,1,0,2017,1484,1,1,100,within an hour,1,0
63,Standard Charm Suite at Times SQ Boutique Hotel,105,24.42,32,4.5,2,1,1,1,0,0,4.5,14,4.5,4.8,4.8,4.9,4.8,4.6,no free cancel,0,New York,25,room,2,19,0,0,0,0,0,1,0,2021,316,1,0,100,within an hour,1,0
64,Charming Queen Suite 55th&Fifth Ave Boutique Hotel,125,0,35,0,2,1,1,1,0,0,4.44,18,4.6,4.7,4.8,4.9,4.7,4.7,no free cancel,0,New York,25,room,2,26,0,1,0,0,0,1,0,2021,316,1,0,100,within an hour,1,0
65,Sonder | Battery Park | Studio Apartment,189,75,0,0,2,1,1,1,1,1,4.66,692,4.8,4.8,4.6,4.7,4.7,4.6,48 hours after booking,1,New York,25,entire home,1,30,0,0,0,1,0,1,0,2018,5820,1,0,100,within an hour,1,2
66,UNTITLED at Freeman-Cozy Studio 1004,169,70,57,0,2,1,1,1,1,1,5,11,4.9,4.8,5,4.9,5,4.9,48 hours after booking,1,New York,25,entire home,1,33,0,0,0,0,0,1,0,2017,1484,1,1,100,within an hour,1,0
67,Water View King Bed Hotel Room,158,0,45,0,2,1,1,1,1,1,4.88,56,4.8,4.8,4.9,4.9,5,4.9,1 day before check in,5,New York,25,room,2,24,0,0,0,0,0,1,0,2020,3465,1,1,99,within an hour,1,0
68,Charming Studio in a Great location,195,75,66,0,2,1,1,1,1,1,4.93,197,5,5,5,4.9,4.9,4.8,48 hours after booking,1,New York,25,entire home,1,27,0,0,0,1,0,1,0,2013,197,1,1,100,within an hour,1,0
69,Lovely PRIVATE BEDROOM near to CENTRAL PARK,69,25,23,0,2,1,1,1,0,0,5,4,4,5,5,4.8,5,5,no free cancel,0,New York,25,room,2,17,0,0,0,1,0,0,0,2021,4,1,0,100,within an hour,1,2
70,Room w/PRIVATE BATHROOM and BACKYARD!,80,20,25,0,3,1,2,1,1,0,4.87,257,4.8,4.9,4.9,4.7,4.9,4.8,1 day before check in,5,New York,25,room,2,51,0,1,0,1,1,1,0,2016,355,1,1,100,within an hour,1,1
71,Huge Bedroom w/bathroom next to Columbia U!,87,20,27,0,2,1,1,1,1,0,4.74,95,4.8,4.8,4.8,4.8,4.7,4.7,30 days before check in,2,New York,25,room,2,27,0,0,0,1,0,1,0,2014,123,1,1,100,within an hour,1,1
72,Hotel Room King Bed,129,0,36,0,2,1,1,1,0,0,4.81,32,4.6,4.8,4.8,4.8,5,4.8,no free cancel,0,New York,25,room,2,15,0,1,0,0,1,1,0,2021,728,1,0,100,within an hour,1,0
73,Boutique and Trendy Chelsea Hotel,118,15,35,0,2,1,1,1,1,1,5,15,4.8,4.7,5,4.9,5,4.9,1 day before check in,5,New York,25,room,2,20,0,0,0,0,1,1,0,2021,220,1,1,99,within an hour,1,0
74,Modern Studio w/ Private Entry - Heart of Chelsea,196,89,68,0,2,1,1,1,1,1,4.87,344,4.8,4.9,4.9,5,4.9,4.8,48 hours after booking,1,New York,25,entire home,1,26,0,0,0,1,1,1,0,2013,0,1,0,99,,1,0
75,Cozy Hotel in the heart of Chelsea,110,15,33,0,2,1,1,6,1,0,4.88,24,4.9,4.8,5,4.9,5,4.8,1 day before check in,5,New York,25,room,2,18,0,0,0,0,1,1,0,2021,220,1,1,99,within an hour,1,0
76,Times Square only 18min away!,72,50,27,38.88,2,1,1,1,1,0,5,5,4.8,4.8,4.8,4.6,4.2,4.4,1 day before check in,5,New York,25,room,2,43,1,0,0,1,1,1,0,2018,20,1,1,100,within an hour,1,0
77,the little royal (private) room,35,35,15,0,2,1,1,1,0,0,4.76,170,4.7,4.9,4.9,4.7,4.9,4.8,no free cancel,0,New York,25,room,2,15,0,0,0,0,0,1,1,2011,233,0,0,99,within a few hours,2,0
78,Studio in central of Midtown near ESB,110,99,45,0,3,1,2,1,0,0,4.59,27,4.6,4.6,4.7,4.9,4.8,4.5,no free cancel,0,New York,25,entire home,1,32,0,0,0,1,0,1,0,2018,927,1,0,94,within an hour,1,0
79,"Remodeled Studio, minutes from DTLA. NO CITY TAX!",122,82.5,68.67,63,2,1,1,1,1,1,5,7,5,5,5,4.7,5,4.7,5 days before check in,4,Los Angeles,19,entire home,1,49,0,1,1,1,1,1,1,2015,7,1,0,100,within an hour,1,0
80,Spacious room in the Heart of Midtown!,145,0,0,50,2,1,1,1,0,1,4.74,268,4,4,4,4.8,4.1,3.7,no free cancel,0,New York,25,room,2,31,0,0,0,0,0,1,0,2019,2159,1,0,99,within an hour,1,0
81,Contemporary & Classic Sanctuary on the Hudson,225,100,78,0,3,1,2,1,1,1,4.99,195,5,5,5,4.9,5,4.9,30 days before check in,2,New York,25,entire home,1,56,0,0,1,1,0,1,0,2011,219,1,1,100,within an hour,1,0
82,Modern Gorgeous 2 BR Private Apartment in Brooklyn,119,150,55,0,4,2,2,1,1,1,4.8,30,4.9,4.7,4.9,4.8,4.9,4.9,1 day before check in,5,New York,25,entire home,1,46,1,1,1,1,0,1,0,2020,122,1,1,99,within an hour,1,0
83,Elegant Private Studio - Town House,76,70,31,0,2,1,1,1,1,1,4.87,270,4.9,4.9,4.7,4.7,4.8,4.9,48 hours after booking,1,New York,25,room,2,36,0,1,0,1,0,1,0,2015,378,1,0,89,within a day,3,1
84,Beautiful King Bed Hotel Room,135,0,38,0,2,1,1,1,1,1,4.73,30,4.9,4.8,4.6,4.7,4.6,4.6,1 day before check in,5,New York,25,room,2,20,0,0,0,0,0,1,0,2020,3467,1,1,99,within an hour,1,0
85,Water View King Bed Hotel Room,152,0,43,0,2,1,1,1,1,1,4.89,53,4.9,4.8,4.9,4.9,4.9,4.8,1 day before check in,5,New York,25,room,2,24,0,0,0,0,0,1,0,2020,3467,1,1,99,within an hour,1,0
86,Beautiful 2 Double Bed Hotel Room,138,0,39,0,4,1,2,1,1,1,4.79,24,4.8,4.8,4.8,4.8,4.8,4.8,1 day before check in,5,New York,25,room,2,25,0,0,0,0,0,1,0,2020,3467,1,1,99,within an hour,1,0
87,UNTITLED at Freeman-Cozy Studio 917,165,70,56,0,2,1,1,1,1,1,4.92,13,5,4.8,5,5,5,4.8,48 hours after booking,1,New York,25,entire home,1,35,0,0,0,0,0,1,0,2017,1507,1,1,100,within an hour,1,0
88,Upper West Studio with private rooftop terrace,132,45,44,0,2,1,1,1,0,0,4.71,14,4.5,4.6,4.9,5,4.9,4.8,no free cancel,0,New York,25,entire home,1,30,0,0,0,1,0,1,0,2019,21,1,0,100,within an hour,1,1
89,Lovely PRIVATE BEDROOM near to CENTRAL PARK,70,25,23,0,2,1,1,1,0,0,5,4,4,5,5,4.8,5,5,no free cancel,0,New York,25,room,2,17,0,0,0,1,0,0,0,2021,4,1,0,100,within an hour,1,2
90,Comfortable Brooklyn Studio,95,45,33,0,2,1,2,1,1,1,4.91,84,5,5,5,4.5,4.9,4.9,1 day before check in,5,New York,25,entire home,1,24,0,1,0,0,0,1,0,2016,84,1,1,100,within an hour,1,1
91,Time SQ Boutique Hotel Charming Suite,115,0,32,0,2,1,1,1,0,0,4.63,8,5,4.8,5,5,4.9,4.6,no free cancel,0,New York,25,room,2,19,0,0,0,0,0,1,0,2021,316,1,0,100,within an hour,1,0
92,Near Broadway / King Bed Hotel Room,135,0,38,0,2,1,1,1,1,1,4.84,62,4.8,5,5,4.9,5,4.9,1 day before check in,5,New York,25,room,2,22,0,0,0,0,0,1,0,2020,3467,1,1,99,within an hour,1,0
93,28th Street Queen/Queen Hotel Room,129,0,36,0,4,2,2,1,1,0,4.9,20,4.6,4.8,4.8,5,5,4.8,1 day before check in,5,New York,25,room,2,15,0,1,0,0,1,1,0,2021,729,1,0,100,within an hour,1,0
94,Cozy 1BR APT in the heart of Astoria,40,30,15,0,2,1,1,1,1,1,4.81,264,4.8,4.8,4.8,4.9,4.9,4.9,1 day before check in,5,New York,25,room,2,30,0,0,0,1,0,1,0,2017,264,0,0,89,within an hour,1,0
95,Huge Bedroom w/bathroom next to Columbia U!,87,20,27,0,2,1,1,1,1,0,4.74,95,4.8,4.8,4.8,4.8,4.7,4.7,30 days before check in,2,New York,25,room,2,27,0,0,0,1,0,1,0,2014,123,1,1,100,within an hour,1,1
96,Cozy Apartment Next To Central Park,169,25,51,0,5,2,4,1,1,0,4.46,174,4.4,4.7,4.8,4.8,4.9,4.6,5 days before check in,4,New York,25,entire home,1,30,0,0,0,1,0,1,0,2015,220,1,0,100,within an hour,1,1
97,Beautiful Standard Full Room at The Ridge,137,60,0,56,2,1,1,1,0,1,4.4,600,4.6,4.5,4.6,4.8,4.8,4.5,no free cancel,0,New York,25,room,2,28,0,1,0,0,1,1,0,2019,1511,1,0,100,within an hour,1,0
98,Chelsea New York Hip Hotel,135,15,40,0,2,1,1,1,1,1,4.91,22,5,5,4.9,5,5,5,1 day before check in,5,New York,25,room,2,30,0,1,0,0,1,1,0,2021,225,1,1,99,within an hour,1,0
99,Times Square only 18min away!,72,0,20,0,2,1,1,1,1,0,5,5,4.8,4.8,4.8,4.6,4.2,4.4,1 day before check in,5,New York,25,room,2,43,1,0,0,1,1,1,0,2018,20,1,1,100,within an hour,1,0
100,Chic Designer’s Room & 2 Beds in Manhattan LES,95,39,32,0,2,1,2,1,1,1,4.59,309,4.2,4.7,4.9,4.6,4.9,4.6,48 hours after booking,1,New York,25,room,2,24,0,0,0,1,0,1,0,2014,474,1,0,85,within an hour,1,0
101,NYC Photographers Loft,164,98,60,0,2,1,2,1,0,1,4.65,81,4.6,4.7,4.7,4.8,4.7,4.5,no free cancel,0,New York,25,entire home,1,25,0,0,0,1,1,1,0,2011,373,1,0,100,within an hour,1,1
102,Filomena’s,97,5,28,0,2,1,1,1,1,1,4.82,308,4.9,4.8,4.9,4.9,5,4.8,1 day before check in,5,New York,25,entire home,1,26,0,1,0,0,0,1,0,2016,308,1,1,89,within an hour,1,2
103,Full 1 Bedroom Apartment in heart of UWS,200,100,71,0,3,1,1,1,1,1,4.93,201,4.9,5,5,5,5,4.8,5 days before check in,4,New York,25,entire home,1,49,0,0,1,1,1,1,0,2016,268,1,1,100,within a few hours,2,1
104,Large King Bed Hotel Room,135,0,38,0,2,1,1,1,1,1,4.93,69,4.8,4.9,5,4.9,4.9,4.9,1 day before check in,5,New York,25,room,2,22,0,0,0,0,0,1,0,2020,3467,1,1,99,within an hour,1,0
105,Water View King Bed Hotel Room,158,0,45,0,2,1,1,1,1,1,4.91,85,4.9,4.9,4.9,4.9,5,4.9,1 day before check in,5,New York,25,room,2,24,0,0,0,0,0,1,0,2020,3467,1,1,99,within an hour,1,0
106,Beautiful 2 Double Bed Hotel Room,138,0,39,0,4,1,2,1,0,1,4.76,51,4.7,4.8,4.9,4.9,4.9,4.8,no free cancel,0,New York,25,room,2,21,0,0,0,0,0,1,0,2020,3467,1,1,99,within an hour,1,0
107,UNTITLED at Freeman-Charming Studio 714,166,70,57,0,2,1,1,1,1,1,5,4,5,5,5,5,5,5,48 hours after booking,1,New York,25,entire home,1,17,0,0,0,0,0,1,0,2017,1507,1,1,100,within an hour,1,0
108,Hotel Room Queen/Queen Bright and Cozy,129,0,36,0,4,2,2,1,0,0,4.81,27,4.7,4.8,4.6,4.9,4.9,4.7,no free cancel,0,New York,25,room,2,16,0,1,0,0,1,1,0,2021,729,1,0,100,within an hour,1,0
109,"Beautiful, Safe, Private Brownstone Entire Floor.",210,60,68,0,2,1,1,1,1,1,4.93,237,4.9,5,5,4.8,4.9,4.8,48 hours after booking,1,New York,25,entire home,1,30,0,0,0,1,0,1,0,2018,237,1,1,100,within an hour,1,1
110,Beautiful one bedroom Apt in the heart of Soho.,175,95,63,0,2,1,1,1,1,1,4.65,56,4.5,4.8,4.8,4.9,5,4.7,5 days before check in,4,New York,25,entire home,1,24,0,0,1,1,0,0,0,2019,56,1,1,100,within an hour,1,0
